"caudate","thalamus","putamen","pallidum","bilateral_hippocampus","amygdala","accumbens.area","VentralDC","Left.Lateral.Ventricle","Right.Lateral.Ventricle","ICV"
6870.2,11206,7339.7,3260.2,5958.5,2141.7,703.7,7017.5,43141.3,32430.3,1714625.407
7207.9,10754.1,6890.5,2786.7,6321.4,2469,712.5,6058.9,23128.6,20464.6,1401920.784
6879.9,14010.5,9931.7,3677.9,8370.3,2944.9,1213.1,8566.2,6885.3,5283.9,1402664.545
6745.3,13224.9,9450.9,4180.4,7849.8,2964.2,1069.3,8261.8,5682.2,5642.9,1402100.365
7315.9,11210.2,7495.6,3371,7195.2,3087.1,902.3,6017.3,11172.8,8485,1399520.534
6164.6,14412,8760.1,3876.2,8541.8,3183.7,1080.2,8595.7,8415.7,6120.2,1381265.768
8959.5,15663.6,10479.3,4266.2,9055.8,3748.9,1389.3,10622.3,21399.6,17806.1,1827423.123
7360.9,12179.7,8267.3,3065.5,7534.4,2554.6,1308.4,7872.1,14753.7,14872.8,1532373.93
6736.7,17539.8,10071.8,4317.7,8529.2,3241.1,1329.2,9218.8,15548.6,10284.3,1867862.536
8042.6,16590.3,12589,4309.4,9285.4,4002.5,1257.1,9410.7,3647.4,5040.3,1685696.379
7679.1,15608.9,7963.6,3967.7,7959.1,2909.9,933,8742.5,24795.1,16673.6,1726761.256
6039.9,11686.1,8483.5,3133.4,7107,2847.3,851.1,7378.4,3459.2,2704.4,1099211.16
6731.9,13735.4,10197.4,4200,8354.7,3293.9,1060,9118.5,12204.9,8648.4,1560799.856
6625.2,13973.1,9236.5,3412.5,8160.5,3664.7,1264.1,7805.3,6608.5,7032.3,1578084.742
4987.3,12237.3,8398.2,3527.6,6532.5,2503.6,817.4,6786.3,4064.3,3937.6,1315130.752
6135.1,12398.5,8285.4,3384.1,7659.4,2907.8,993.6,7390.4,27833.6,17247.8,1724394.198
6774.3,13986.1,9527,3941.7,7586.5,3383.9,791.4,8880.4,49421.4,35348.9,1941133.421
6465.6,15801.2,8295.9,3855.5,9667.8,3627.5,1102.2,9433.3,7676.6,4905.8,1547160.582
6178.3,12732.2,7488.1,3055.6,7770.4,1843.8,936.6,6716.1,15389.2,11839.2,1612143.693
6570.9,13693.4,9413.5,3318.5,7860.9,2901.4,1188.8,7667.7,6727.2,5579.5,1260357.511
6161.7,12935.1,8461.1,3125.6,6906.4,2861.2,1151,8206.8,4373.9,3587.3,1315103.553
5466.6,14316.4,8594,3574.1,8008.5,3063.9,913.9,8727.9,3629.8,3378.4,1356373.082
5814.6,12594,8950.8,3591.6,7179.7,3015.2,703.9,7478.4,43902,41725.6,1693594.446
6450.7,14036.9,8867.5,2799.2,8038.4,3010.4,1009,7642.6,6751.8,5240.5,1407491.929
6531.1,13493.5,9940.5,3745.3,7717.6,3250.3,1159.8,8835.7,4702.8,4746.3,1321252.332
7852.6,14937.2,10472.5,3712.5,8045.2,3258.9,1262.4,8662.1,8318.5,9098.1,1697655.593
7451.2,12655.3,8699.1,3525,7477.7,3036.7,1116.1,7111,10253.2,10634.5,1528968.586
7092.6,13637.5,9624.4,3479.7,7714.1,3187.2,832.3,8689.8,12099.2,17384.5,1555239.28
6973.3,12668.3,8768.8,3799.9,8861.5,3002.1,919.5,8417,18556.7,12359.8,1770552.008
6683.2,11948.3,7975.2,2894.9,7149.4,2613.6,811.9,6642.1,10722.3,10650.9,1313771.419
6716.6,10687.9,7735.3,3229.7,6231.1,2427.5,746.6,7025.1,16843.3,16128.3,1355912.68
7695.8,16568.3,10424.8,3764.4,8601.7,3321.2,1517.3,9417.2,4935.5,4770,1550291.692
7585.9,14351.6,11187.3,4169.1,8573.5,3581.3,1217.4,8412.1,9588.6,11788.7,1750712.264
6272.9,13508.5,9365.1,3941.5,7857.1,3497.4,898.8,7651.4,8712.4,6718.9,1597252.651
6427.5,12966,8277.2,3667.5,7717.2,2782.1,928.8,7669.4,10960.2,8057.2,1453912.334
6293.6,12777.5,8055.9,3616.3,6996.6,2353.4,713.3,7595.2,17817.8,13345.7,1551454.27
6552,13100.2,8612.9,3139.6,7414.7,2612.1,946.8,7587.8,9024.1,9088,1474736.259
5632.2,10470.8,7397.3,2880.6,6722.9,2030.4,507.8,6111.3,11480.2,11079.5,1299154.35
7539.9,14550.2,9552.9,4064.1,7870.7,3251.2,947,8495.8,15091.9,8422.8,1641210.858
